Name,RA_deg,Dec_deg,logMbh,source,theta_dpole,theta_apole
NGC4594,189.99763,-11.62305,8.82,Thomas2016,26.626052648720357,153.37394735127964
NGC4596,189.98306,10.17603,7.89,Thomas2016,48.26044239947402,131.73955760052598
NGC4621,190.50967,11.64693,8.6,Thomas2016,49.678158083646245,130.32184191635375
NGC4649,190.9167,11.55261,9.67,Thomas2016,49.551576827056586,130.44842317294342
NGC4697,192.14961,-5.80085,8.31,Thomas2016,32.15534283445858,147.84465716554143
NGC4698,192.09557,8.48724,7.76,Thomas2016,46.41345478442367,133.58654521557634
NGC4742,192.95017,-10.45479,7.1,Thomas2016,27.455434647877194,152.54456535212282
NGC4748,193.05188,-13.41467,6.36,Thomas2016,24.495881670539614,155.5041183294604
NGC4751,193.21167,-42.65996,9.15,Thomas2016,5.066502641459177,174.93349735854082
NGC4800,193.6574,46.53114,7.02,Thomas2016,84.37650713104796,95.62349286895204
NGC4889,195.03374,27.97702,10.32,Thomas2016,65.81082779775245,114.18917220224755
NGC4945,196.36366,-49.4679,6.14,Thomas2016,11.662728072053582,168.3372719279464
NGC5005,197.73463,37.05894,8.27,Thomas2016,74.92813509036715,105.07186490963285
NGC5055,198.95554,42.02929,8.92,Thomas2016,79.93487882824282,100.06512117175718
NGC5077,199.88196,-12.65697,8.93,Thomas2016,25.515938668740564,154.48406133125943
NGC5127,200.93741,31.5658,8.27,Thomas2016,69.60320376983947,110.39679623016053
NGC5128,201.36506,-43.01911,7.76,Thomas2016,6.973222821762404,173.0267771782376
NGC5248,204.38362,8.88506,6.3,Thomas2016,47.49528430510195,132.50471569489804
NGC5252,204.56612,4.54251,9.07,Thomas2016,43.25475043325101,136.74524956674898
NGC5273,205.53494,35.65424,6.61,Thomas2016,74.10509881968567,105.89490118031433
NGC5283,205.2739,67.67215,7.41,Thomas2016,105.77914767755854,74.22085232244146
NGC5328,208.22214,-28.48927,9.67,Thomas2016,14.311011352537417,165.6889886474626
NGC5347,208.32439,33.49076,7.21,Thomas2016,72.35660777675965,107.64339222324035
NGC5419,210.91155,-33.97839,9.86,Thomas2016,13.252772246366176,166.74722775363384
NGC5427,210.85854,-6.03081,7.58,Thomas2016,34.83109608854339,145.1689039114566
NGC5457,210.80243,54.34875,6.41,Thomas2016,93.15119675686014,86.84880324313986
NGC5490,212.48887,17.54542,8.73,Thomas2016,57.70695994560426,122.29304005439573
NGC5495,213.0973,-27.10798,7.0,Thomas2016,18.444148406053237,161.55585159394676
NGC5516,213.97781,-48.11488,9.52,Thomas2016,17.064669862651094,162.9353301373489
NGC5548,214.49797,25.13679,7.7,Thomas2016,65.51765660092262,114.48234339907738
NGC5576,215.26538,3.27105,8.44,Thomas2016,45.105463019428726,134.89453698057127
NGC5643,218.16991,-44.17461,7.05,Thomas2016,18.360412803424552,161.63958719657546
NGC5695,219.34228,36.56779,8.0,Thomas2016,77.66878321105263,102.33121678894737
NGC5728,220.5997,-17.25317,8.05,Thomas2016,30.293094324414866,149.70690567558512
NGC5765B,222.71463,5.1145,7.66,Thomas2016,49.968882458640536,130.03111754135946
NGC5813,225.29694,1.70197,8.85,Thomas2016,48.316019915128976,131.68398008487102
NGC5845,226.50328,1.63382,8.69,Thomas2016,48.90598680234919,131.0940131976508
NGC5846,226.62189,1.60564,9.04,Thomas2016,48.94694144914629,131.0530585508537
NGC5879,227.4448,57.00021,6.62,Thomas2016,98.65435721329554,81.34564278670446
NGC5921,230.48567,5.07054,7.07,Thomas2016,53.96905260750536,126.03094739249464
NGC6086,243.14809,29.48485,9.57,Thomas2016,80.85755804167445,99.14244195832555
NGC 6240S,253.24567,2.40028,9.17,Thomas2016,66.90095868245854,113.09904131754146
NGC6251,248.13321,82.53789,8.79,Thomas2016,123.1138041399625,56.8861958600375
NGC6300,259.2478,-62.82055,7.14,Thomas2016,45.275066271652975,134.72493372834703
NGC6323,258.32525,43.78233,7.0,Thomas2016,99.57583015943122,80.42416984056878
NGC6500,268.99909,18.33824,8.34,Thomas2016,89.04903184395314,90.95096815604686
