Name,RA_deg,Dec_deg,logMbh,source,theta_dpole,theta_apole
NGC6503,267.36047,70.14434,6.3,Thomas2016,119.64198506442247,60.35801493557753
NGC6814,295.66907,-10.32375,7.02,Thomas2016,91.76657582215125,88.23342417784875
NGC6861,301.83117,-48.37026,9.3,Thomas2016,72.02596049266863,107.97403950733137
NGC6951,309.30865,66.10564,6.93,Thomas2016,133.7335322930837,46.2664677069163
NGC7052,319.6377,26.44685,8.6,Thomas2016,132.27868437496528,47.72131562503472
NGC7331,339.26709,34.41592,8.02,Thomas2016,150.92879510627407,29.071204893725934
NGC7332,339.35217,23.79835,7.08,Thomas2016,146.410114953365,33.589885046635004
NGC7418,344.15067,-37.03008,5.18,Thomas2016,99.82237518792498,80.17762481207502
NGC7424,344.32654,-41.07057,5.18,Thomas2016,96.19463496179822,83.80536503820178
NGC7457,345.24972,30.14489,6.95,Thomas2016,154.10665865313518,25.893341346864815
NGC7582,349.59842,-42.37057,7.74,Thomas2016,96.47136502391903,83.52863497608097
NGC7619,350.06052,8.20629,9.4,Thomas2016,142.65748420481913,37.34251579518087
NGC7626,350.17718,8.21706,8.58,Thomas2016,142.73031732551243,37.26968267448757
NGC7682,352.26623,3.53333,7.56,Thomas2016,139.78353129826445,40.21646870173555
NGC7768,357.74414,27.14743,9.13,Thomas2016,161.8368230694502,18.16317693054981
SBSG 1116+583A,169.74049,58.05656,6.54,Thomas2016,98.2390094181952,81.7609905818048
UGC12064,337.83594,39.35828,8.84,Thomas2016,150.94128689687804,29.05871310312196
UGC1214,25.99069,2.34991,7.74,Thomas2016,143.16946295402636,36.83053704597364
UGC1395,28.84174,6.6117,6.83,Thomas2016,146.42264830236732,33.57735169763268
UGC1841,35.79755,42.99205,8.47,Thomas2016,163.56401133208854,16.43598866791146
UGC3789,109.87872,59.35513,6.99,Thomas2016,119.67637855990715,60.32362144009285
UGC6093,165.19981,10.72827,7.41,Thomas2016,56.10826358533912,123.89173641466088
UGC7115,182.02321,25.23727,9.0,Thomas2016,64.2791932763116,115.7208067236884
UGC9799,229.18536,7.02167,8.89,Thomas2016,54.8834944349669,125.1165055650331
Mrk0110,141.30363,52.28625,7.28,Thomas2016,101.58148797413843,78.41851202586157
Mrk0279,208.2639,69.30804,7.4,Thomas2016,107.57299768421237,72.42700231578763
NGC1068,40.66988,-0.01329,6.92,Thomas2016,135.48677461241135,44.51322538758865
NGC1300,49.92116,-19.41136,7.88,Thomas2016,114.1200481293851,65.8799518706149
NGC2139,90.28318,-23.67232,5.18,Thomas2016,86.57900850171076,93.42099149828924
NGC2911,143.44208,10.15259,9.09,Thomas2016,68.11471455520392,111.88528544479608
NGC3516,166.69789,72.56853,7.37,Thomas2016,112.16938233941045,67.83061766058955
NGC4041,180.55072,62.13729,6.0,Thomas2016,100.67275963459407,79.32724036540593
NGC4636,190.70778,2.68778,8.58,Thomas2016,40.73769409991492,139.2623059000851
NGC4736,192.72145,41.12015,6.78,Thomas2016,78.98704939106884,101.01295060893116
NGC4826,194.18207,21.68266,6.05,Thomas2016,59.524407171312276,120.47559282868772
NGC5018,198.25417,-19.5183,8.02,Thomas2016,18.5029895295742,161.4970104704258
NGC5194,202.46957,47.19526,5.96,Thomas2016,85.27463006858754,94.72536993141246
NGC7469,345.81531,8.87369,6.94,Thomas2016,140.74570481884462,39.254295181155385
G1,8.19387,39.57792,5.24,Thomas2016,174.23864058017074,5.761359419829262
NGC0104,6.02233,-72.08144,3.0,Thomas2016,69.89398425769386,110.10601574230614
NGC1851,78.52817,-40.04656,0.0,Thomas2016,82.9379668680397,97.0620331319603
NGC1904,81.04412,-24.52425,3.48,Thomas2016,92.28221719349925,87.71778280650075
NGC5139,201.697,-47.47947,3.94,Thomas2016,10.744475278344357,169.25552472165563
NGC5272,205.54842,28.37728,0.0,Thomas2016,66.91226075021198,113.08773924978802
NGC5694,219.90217,-26.53833,0.0,Thomas2016,23.631537116340496,156.3684628836595
NGC5824,225.99422,-33.06853,0.0,Thomas2016,25.38839036016223,154.61160963983778
NGC6093,244.26004,-22.97608,0.0,Thomas2016,44.257382078800994,135.742617921199
NGC6205,250.42347,36.46132,0.0,Thomas2016,90.10952392575972,89.89047607424028
NGC6266,255.3025,-30.11236,3.3,Thomas2016,49.56318038465829,130.4368196153417
NGC6341,259.28079,43.13594,0.0,Thomas2016,99.62294027081296,80.37705972918704
NGC6388,264.07275,-44.73565,4.23,Thomas2016,50.63688177883171,129.3631182211683
NGC6397,265.17537,-53.67433,2.78,Thomas2016,49.10877392726069,130.8912260727393
NGC7078,322.49304,12.167,2.7,Thomas2016,126.63432115977562,53.365678840224376
M 31,10.68471,41.26875,8.15,McConnell2013,175.09241491028942,4.9075850897105795
M 32,10.67427,40.86517,6.73,McConnell2013,175.35184939629676,4.648150603703243
NGC 821,32.08807,10.99495,8.0,McConnell2013,149.201696446667,30.798303553333
M 77,40.66962,-0.01329,6.93,McConnell2013,135.4869004199979,44.51309958000209
M 81,148.88822,69.0653,7.8,McConnell2013,112.21440562383125,67.78559437616875
M 106,184.74008,47.30372,7.58,McConnell2013,85.65205007660533,94.34794992339467
NGC 4339,185.89558,6.0818,7.96,McConnell2013,44.76833628221678,135.23166371778322
M 84,186.2656,12.88698,8.71,McConnell2013,51.41362014869103,128.58637985130898
M 85,186.35022,18.19108,7.99,McConnell2013,56.644103749550226,123.35589625044977
M 49,187.4449,8.0004,9.4,McConnell2013,46.407355868979316,133.59264413102068
M 87,187.70593,12.39112,9.82,McConnell2013,50.71840216573993,129.28159783426008
M 89,188.91586,12.55634,8.67,McConnell2013,50.73711038214266,129.26288961785735
M 59,190.50941,11.64692,8.55,McConnell2013,49.67816984109407,130.32183015890593
M 60,190.91655,11.55269,9.67,McConnell2013,49.551668061494624,130.44833193850536
NGC 4762,193.23354,11.2308,7.39,McConnell2013,49.10009675544786,130.89990324455215
NGC 315,14.45368,30.35245,9.08,McConnell2013,172.49123226670085,7.508767733299152
Circinus,213.29128,-65.33902,6.23,McConnell2013,29.455998174224426,150.54400182577558
M 104,189.99763,-11.62305,8.82,McConnell2013,26.626052648720357,153.37394735127964
NGC 404,17.36259,35.71813,5.15,KormendyHo2013,177.2825917442081,2.717408255791895
NGC 4246,184.49217,7.18592,7.5,KormendyHo2013,46.12090925895216,133.87909074104783
NGC 4387,186.42365,12.8105,7.25,KormendyHo2013,51.31400682824287,128.68599317175713
NGC 4434,186.90282,8.15434,7.54,KormendyHo2013,46.641381201048056,133.35861879895194
Sgr A*,266.41683,-29.00781,6.61,EHT2022,58.653175746461606,121.34682425353839
NGC 307,14.13567,-1.77199,8.31,vdBosch2016,140.3814625020674,39.61853749793261
NGC 524,21.19893,9.53891,8.92,vdBosch2016,151.19955116469347,28.800448835306526
NGC 1281,50.02548,41.62998,8.17,vdBosch2016,153.15947456358288,26.840525436417124
