name,source,ra,dec,l,b,theta_D,d_mpc,R_Thales
2MRS_151.11-28.44,2MRS,151.1088,-28.44404,263.9312164555588,21.508343343906724,37.75359652296779,14.232876712328768,18.001462270269474
2MRS_190.05-5.80,2MRS,190.05386,-5.79928,297.8075598171159,56.96076840075954,32.37918386204008,14.232876712328768,16.85316379364131
2MRS_193.37+2.17,2MRS,193.37155,2.16833,304.1443877963749,65.03525784856014,40.03905659847452,14.246575342465754,18.608231268287486
UGC07549,CF3,186.74375,2.4944444444444445,288.5213674604455,64.6795523491827,41.08751588831303,14.32,18.999435358714987
NGC4586,CF3,189.61833333333334,4.318888888888889,294.6421147309304,66.9817368684544,42.47407750068341,14.32,19.414766258347836
LEDA,CF2,201.17416666666668,-19.695888888888888,313.5714172697767,42.48773401217085,18.859051540376168,14.32,15.132356078347103
2MRS_153.89-45.13,2MRS,153.88902,-45.13282,276.19822772343974,9.495123977598046,31.457660953609317,14.383561643835616,16.861808498466104
2MRS_224.63-47.70,2MRS,224.62656,-47.69895,324.01287789586416,9.904137911483135,23.539490979596437,14.397260273972602,15.704074525789872
2MRS_160.08-48.57,2MRS,160.07858,-48.56533,281.67288202514897,8.818995635366043,27.47906164763378,14.41095890410959,16.243565851918685
NGC_4536,CF3,188.61291666666665,2.1877777777777774,292.95011547974656,64.72981514025362,40.487964413537185,14.45,18.999598874090413
LEDA,CF2,193.8025,0.11666666666666667,305.00755207821794,62.973213620208696,37.97321395334279,14.45,18.330619866002984
UGC08041,CF3,193.8025,0.11666666666666667,305.00755207821794,62.973213620208696,37.97321395334279,14.52,18.419418716564937
2MRS_189.83-0.53,2MRS,189.82825,-0.53184,296.42473442751816,62.186619898198416,37.632476036215735,14.58904109589041,18.421816489899264
PGC041965,CF3,188.90750000000003,-7.876388888888889,296.13236372504485,54.78652622452385,30.499259424189077,14.59,16.93290987366702
2MRS_166.95-46.53,2MRS,166.95212,-46.52607,284.98401309999036,12.702768069912771,22.53401180581155,14.63013698630137,15.839443629376822
2MRS_194.20-8.53,2MRS,194.20375,-8.52529,305.21175485292736,54.32265586200773,29.323078204388622,14.643835616438356,16.79585331571196
PGC044982,CF3,195.56,-17.23777777777778,306.6166271219727,45.55667535743645,20.59785188721066,14.66,15.661176305695705
ESO383-091,CF3,207.63208333333336,-37.288888888888884,315.77269929810257,24.105063194106755,9.836772503182338,14.66,14.878740474537983
LEDA,CF2,188.61291666666665,2.1879166666666663,292.95006525189257,64.7299523640929,40.488101930076986,14.66,19.275757108544884
NGC003113,CF3,151.10999999999999,-28.445,263.9327479883671,21.508275406617663,37.75222669498122,14.72,18.6172215416161
NGC4496A,CF3,187.9129166666667,3.9394444444444447,290.5568576052332,66.33463567533389,42.32241274141496,14.72,19.90890130480602
UGC07985,CF3,192.49124999999998,5.311111111111111,301.9454435255206,68.18003984396738,43.22009837416769,14.72,20.199568020811395
2MRS_151.64-29.94,2MRS,151.63887,-29.9354,265.325498375026,20.644794713669263,36.69965315946194,14.726027397260275,18.36668531596753
2MRS_153.68-28.87,2MRS,153.67546,-28.87206,266.11936022833305,22.57707604341499,35.54039670719595,14.821917808219178,18.215325737663175
2MRS_146.41-31.19,2MRS,146.41164,-31.19109,262.57873072342977,16.763398318204164,40.31482481303488,14.904109589041095,19.546348811603195
2MRS_201.58+2.10,2MRS,201.58214,2.10076,322.87005785875994,63.61372158956998,40.36458379630043,14.904109589041095,19.56077036982027
NGC4951,CF3,196.28208333333333,-6.493611111111111,309.0553893897107,56.21527984805873,31.354507796230276,15.0,17.565139065944404
ES576-050,CF3,201.17416666666668,-19.695833333333333,313.5714304183247,42.487788715067275,18.859105289764003,15.0,15.850936725528802
N4636,CF3,190.70708333333332,2.6875000000000004,297.746884715506,65.47253690071453,40.73757054202291,15.07,19.888965646548172
LEDA,CF2,186.74375,2.4945,288.52133866164695,64.67960652223272,41.087570562681385,15.07,19.994534154872376
ES219-021,CF3,195.5883333333333,-50.33388888888889,304.71568714286616,12.500052243694109,12.502831205887642,15.14,15.50776174992828
2MRS_153.67-44.85,2MRS,153.67419,-44.85438,275.91087663804177,9.63767117070598,31.61762652182336,15.150684931506849,17.791563271716697
2MRS_194.51+1.58,2MRS,194.50517,1.57558,306.7412840459784,64.39863018031068,39.41495199625495,15.178082191780822,19.646275823570363
2MRS_146.62-74.60,2MRS,146.61795,-74.59565,291.4175907406762,-16.027515154820005,43.110831083490105,15.273972602739725,20.922301505796586
ES384-002,CF3,207.82874999999999,-33.80777777777777,316.92554460355257,27.431678648536973,10.966658702254769,15.28,15.564233218687171
UGC06578,CF3,174.1533333333333,0.8161111111111111,265.51490001242496,58.14478377762757,43.26991464085859,15.35,21.081320022531667
2MRS_165.85-23.09,2MRS,165.84903,-23.08679,272.90035862464714,33.40860263938385,29.121183832262705,15.41095890410959,17.640904106149286
