glon,glat,dist_mpc,theta_D
312.53,35.05,187.6,11.969663069266577
137.01,-28.21,139.2,168.79831193055662
274.71,-27.48,99.6,60.048139750107005
272.43,19.13,36.7,30.672594301195534
299.09,51.76,221.3,27.136959456888988
254.78,-30.46,218.0,73.40422914771901
8.78,51.35,200.7,54.53932963383735
135.66,-62.0,179.3,142.30646711681678
218.45,-52.38,23.0,107.54495823364299
265.27,-22.39,206.7,61.0867584455302
94.77,-40.89,176.4,150.29842445427886
21.19,-40.13,160.1,96.14118532858674
187.11,69.46,157.0,75.69969231526686
6.23,49.1,152.0,52.76855247251471
49.12,35.8,124.9,86.10719412117274
27.83,75.97,118.0,64.05968119989873
283.68,69.66,23.7,46.39114074432587
284.13,12.18,230.5,23.516006299680576
222.97,-33.74,209.7,97.48317464550686
96.23,-50.43,173.1,146.28857411747893
217.54,-33.52,130.9,101.5309135467244
195.8,-58.42,112.8,121.0723679242911
140.96,-17.18,78.1,163.2009916017574
303.99,49.38,63.0,24.392721252234146
303.44,53.62,59.6,28.64382328927283
319.55,32.99,205.3,15.002961855286543
245.88,-26.15,200.6,76.62721733332354
357.78,-39.84,196.3,81.36246791485021
156.24,-69.06,166.0,132.19426615466978
246.47,-30.31,163.3,78.74482571761745
9.67,50.1,154.8,55.044643351074626
253.76,31.0,141.0,45.24929106302487
320.56,-65.19,140.3,90.98862757367702
314.2,23.33,139.1,8.556370495326181
227.7,-30.39,137.0,92.40274301597577
252.5,28.85,135.3,46.59354424820102
150.47,-34.41,130.8,156.04624045315032
240.33,-26.56,128.4,80.91734177380839
161.84,-37.2,119.0,146.43525363193342
325.94,31.65,97.0,19.555496466360857
349.76,65.52,80.2,49.360865967144726
280.63,11.16,79.7,26.906990119289357
202.57,28.61,69.2,88.21733893947157
300.19,52.82,13.3,28.055886292680153
149.82,-75.48,223.5,127.977991822254
241.86,-46.13,216.0,91.19706971571688
308.87,29.09,201.3,5.347775447636892
325.63,-17.4,179.3,46.921641862048325
356.24,-75.69,178.1,105.62033602214528
267.48,-29.45,171.2,65.28152228870978
313.34,37.28,163.6,14.188702179842775
17.29,-39.79,141.3,93.3606153797343
230.23,-24.54,137.8,87.6472870525778
220.5,66.26,126.5,65.04994529835798
21.06,19.45,119.6,69.72050193468822
2.02,-29.4,78.4,77.15323753108288
350.98,-32.74,35.5,72.47128671630627
0.25,49.17,27.4,48.8880653674931
286.23,42.19,22.8,23.129702185558894
189.58,82.96,15.2,68.1763341064325
233.45,57.65,11.8,59.30264033470167
99.54,29.95,360.4,119.86968586068957
214.51,-58.39,285.2,111.3447706398914
228.76,21.61,155.0,69.14139244844709
24.62,-40.24,152.4,98.53173801943474
94.25,-38.81,140.9,150.66878170525317
231.23,52.53,126.2,60.69103821017166
106.69,-33.72,115.3,161.85566815939313
175.74,-51.18,98.7,133.53626231965177
272.61,48.59,86.8,34.596829337059084
113.91,-40.05,74.1,162.31563903236992
199.48,-24.96,70.4,113.46535471336857
83.76,71.57,35.7,79.31040079091984
314.6,31.91,4.5,10.898862876298772
123.29,-84.49,243.2,120.50742272398195
48.58,-41.0,238.7,115.9678957010024
68.82,-46.09,222.0,130.86723819417494
347.67,-21.53,215.7,62.30348268112565
240.89,-30.58,191.7,82.77925376686893
168.89,-61.98,181.4,132.83719576378218
291.08,9.82,177.6,20.1353591815296
317.61,-61.47,174.2,87.06920246939777
191.19,-55.55,145.2,123.74334029295419
234.72,-29.05,144.8,86.43814956331293
117.66,-55.91,141.4,148.6288039241928
253.31,23.24,140.6,46.921034892142764
319.43,41.36,138.3,20.27323698892613
182.83,-57.23,128.2,128.0643836193085
66.46,49.94,127.9,88.90909464644136
198.28,-30.69,127.6,116.09893727116808
8.79,35.03,124.5,55.224892478473656
8.58,58.97,119.3,55.24868786945669
251.24,30.98,117.1,47.399043891358495
323.37,32.81,97.1,17.841552593124437
81.82,-41.28,80.0,140.84770374289812
166.73,23.29,75.2,117.01074770570241
351.61,-41.76,73.7,79.45821477291548
305.36,30.66,67.7,5.668933089674084
124.58,-32.11,66.4,172.88045894260136
342.33,-32.15,57.5,67.34023482320087
302.84,36.35,40.5,11.50001855547131
265.45,-43.45,17.1,77.48551059474491
43.39,60.62,250.3,72.3388807895141
110.97,32.15,240.4,121.30215025235667
345.79,-31.34,223.5,68.51559371199914
192.65,33.19,215.8,93.27126242891197
22.75,60.47,200.3,62.451517448771725
232.5,-21.98,189.6,84.57491938646204
131.78,-60.37,181.0,144.3210146754333
338.82,-47.38,155.8,78.5296899561839
280.19,-28.26,155.7,58.36496626187686
235.26,-31.07,153.1,87.09350177741041
322.15,40.67,153.0,21.20880276035777
238.37,-26.81,148.1,82.51632111577148
114.52,31.24,145.5,122.87369363330086
225.51,-31.23,136.2,94.45956473085789
17.39,23.99,130.6,65.01807609271182
76.15,-55.95,125.2,133.16352453002747
207.26,-40.62,121.3,111.57937070372671
265.06,44.96,112.4,37.78401024909087
313.39,45.48,108.0,21.56619639624538
306.01,-61.09,102.6,86.09390934377902
168.53,22.83,89.0,116.20821855285233
200.39,-33.0,62.2,114.95454377036556
136.42,-52.52,34.4,151.15542003001397
310.99,46.2,29.1,21.73618872209365
291.73,31.82,26.4,13.501970984901385
232.39,66.58,23.1,60.299629430690445
157.08,77.59,3.6,75.65778109106049
49.65,46.3,206.9,81.5366559061643
138.29,-63.1,197.2,140.89157012405985
46.82,-41.93,195.6,114.86719715103247
