id,ra,dec
"NGC  6946",308.71804999999995,60.15367777777777
"NGC  7331",339.26687751586996,34.41577779903001
"NGC  7793",359.45730835243995,-32.59102820854
"NGC  7814",0.8122791666666666,16.14522777777778
"NGC   801",30.936636049419995,38.25878212474
"NGC   891",35.6371125,42.34831944444444
"UGC 10310",244.07458352836997,47.04531357629
"UGC 11455",292.48461015785,72.11292714074
"UGC 11557",306.0028549399,60.1948373014
"UGC 11820",327.36833,14.231110000000001
"UGC 11914",331.96832694816,31.359342303769996
"UGC  1230",26.384379,25.521468
"UGC 12506",349.87705850479,16.074789089739998
"UGC 12632",352.49391499999996,40.992218
"UGC 12732",355.16608,26.236419999999995
"UGC   128",3.4620799999999994,35.99416999999999
"UGC  1281",27.382130000000004,32.58783
"UGC   191",5.021669999999999,10.88
"UGC  2023",38.32583,33.49111
"UGC  2259",41.9809143362,37.53848020441
"UGC  2455",44.92855368636,25.241208893700005
"UGC  2487",45.42638448924,35.20563915247
"UGC  2885",58.26024547597,35.58949281571
"UGC  2916",60.64132088099999,71.70586785647
"UGC  2953",61.94536232896001,69.81242103478
"UGC  3205",74.06195522086,30.0522783307
"UGC  3546",102.53612157900001,60.84579573476001
"UGC  3580",103.87903940161002,69.56314430551
"UGC  4278",123.49545416666668,45.742149999999995
"UGC  4305",124.77077692938,70.72030191957
"UGC  4325",124.83556475852998,50.00960839013
"UGC  4483",129.2625,69.77528
"UGC  4499",129.42287083333332,51.65238333333334
"UGC  5005",141.12249883333334,22.27472813888889
"UGC  5253",147.5926375,72.27864722222222
"UGC  5414",150.988271,40.761509
"UGC  5716",157.93026516666663,25.307603638888885
"UGC  5721",158.07177242411,27.66865700729
"UGC  5750",158.93802,20.990239999999996
"UGC  5764",159.1797619096,31.547274778899993
"UGC  5829",160.678279,34.449276
"UGC  5918",162.401718,65.533631
"UGC  5986",163.12971666666667,36.61877777777778
"UGC  5999",163.244383,7.619796
"UGC   634",15.354878,7.625991
"UGC  6399",170.84675022386,50.89263974548
"UGC  6446",171.66860698457,53.746670149799996
"UGC  6614",174.81197358291,17.143666930190008
"UGC  6628",175.02395741416,45.94215299886
"UGC  6667",175.6096208333333,51.59800555555556
"UGC  6786",177.28940131005,27.02202122052
"UGC  6787",177.31404166666667,56.08435
"UGC  6818",177.6957403704,45.80732891991
"UGC  6917",179.119866,50.428336999999985
"UGC  6923",179.20635833333333,53.160336111111114
"UGC  6930",179.32240716595,49.28351930958
"UGC  6973",179.717606125,42.7224038888889
"UGC  6983",179.78639166666665,52.70778611111111
"UGC  7089",181.490609,43.143356
"UGC  7125",182.17297499999995,36.80229722222222
"UGC  7151",182.49417083333333,46.45718055555556
"UGC  7232",183.4365208333333,36.634025
"UGC  7261",183.80982916666665,20.659077777777778
"UGC   731",17.683249999999997,49.60219
"UGC  7323",184.37576462644998,45.61930803895
"UGC  7399",185.15882916666664,46.291019444444444
"UGC  7524",186.45359712911997,33.54686115781999
"UGC  7559",186.773192,37.141774
"UGC  7577",186.92041999999998,43.49556
"UGC  7603",187.18385083351998,22.82042726653
"UGC  7608",187.183659,43.22383
"UGC  7690",188.112056,42.704121
"UGC  7866",190.56314201313,38.50162350915
"UGC  8286",198.04918172867,44.038146851
"UGC  8490",202.40211666666664,58.41873055555556
"UGC  8550",203.51179583333334,47.91546666666666
"UGC  8699",206.28628163185,41.50339405372
"UGC  8837",208.690007,53.905573
"UGC   891",20.328750000000003,12.41194
"UGC  9037",212.12127500000003,7.058
"UGC  9133",214.03229478217997,35.34385555044
"UGC  9992",235.44939,67.25426
"UGCA 281",186.56538999999998,48.49397999999999
"UGCA 442",355.93978749999997,-31.956769444444447
"UGCA 444",0.49125,-15.463888888888889
