RAJ2000,DEJ2000,z
331.7175,1.4491,0.7822
331.749,1.0106,0.7725
330.3174,1.2577,0.7658
332.9143,1.8432,0.7698
333.9559,1.9471,0.7708
334.672,1.6966,0.7773
333.1196,0.9725,0.7775
333.4866,1.6348,0.7584
333.5513,1.7581,0.7807
335.1869,1.4679,0.7704
333.745,1.1358,0.7731
331.7766,2.2539,0.7794
332.4376,1.3249,0.78
330.8333,1.0377,0.7829
335.0924,0.9762,0.7832
332.4386,2.1895,0.7835
332.6652,1.2265,0.7919
330.2619,1.9803,0.7932
331.1608,2.1627,0.7948
330.897,2.0454,0.784
332.0001,0.9886,0.8026
332.0024,2.217,0.8058
334.2292,2.235,0.8093
332.8064,2.235,0.8093
330.2413,2.1748,0.8095
334.4277,1.4738,0.8104
333.4841,1.574,0.8139
333.8455,1.4307,0.7938
333.2311,1.4321,0.8014
332.5471,0.997,0.8164
334.0211,2.2222,0.831
333.3131,1.8684,0.8337
334.1325,1.1647,0.8358
334.0692,1.5547,0.8242
331.7152,1.0114,0.8411
334.2781,2.0795,0.8431
332.3785,1.3052,0.8489
335.1766,1.3439,0.8491
333.8008,1.8251,0.8545
330.3849,2.1127,0.8552
330.6731,0.9619,0.8555
331.3087,1.5182,0.8572
331.4488,1.5353,0.8296
332.3552,2.1603,0.837
331.2612,1.7343,0.8078
330.5556,1.6333,0.8446
330.4122,2.1824,0.832
331.6915,0.9971,0.8165
330.7883,2.0508,0.8663
331.1669,2.218,0.8384
331.9934,2.0693,0.8215
331.1412,2.2081,0.8211
330.4278,1.3979,0.8301
330.4552,1.4933,0.8065
331.6637,2.1161,0.8479
332.2859,2.2069,0.8584
333.395,1.0213,0.8588
334.1974,1.0216,0.8595
333.7134,2.2597,0.8662
335.1837,1.2738,0.8715
334.5934,1.7474,0.8626
331.8023,1.5198,0.875
334.4866,2.1385,0.8818
335.0903,1.037,0.889
333.0036,2.0034,0.8935
332.7635,1.349,0.8697
332.3672,2.1046,0.8734
333.5518,1.9707,0.8791
332.281,1.5214,0.8947
332.1877,2.2446,0.8932
330.5937,1.7067,0.8939
330.351,1.4444,0.8751
331.2488,1.2776,0.8842
333.6324,0.9848,0.8955
334.1837,2.0386,0.8988
45.127874,0.873,2.174
44.286784,1.633,1.146
46.398987,1.348,1.753
42.987146,2.292,1.534
41.416508,3.146,1.492
29.349103,13.818,1.575
28.924388,14.008,1.202
31.522245,15.114,1.213
31.405566,15.131,1.454
31.568985,15.528,1.972
31.18254,15.619,0.808
31.521251,15.767,2.131
31.624877,15.919,1.561
31.677775,16.241,1.273
30.659088,15.619,1.558
30.229393,16.074,0.881
31.949345,16.83,1.821
28.198774,15.29,1.329
29.276223,15.507,1.019
28.27636,15.817,1.197
28.655362,15.923,1.496
27.455301,15.931,1.763
27.313349,15.976,1.57
30.235933,16.635,0.897
26.244341,17.169,1.845
28.880263,18.734,1.563
25.911767,18.549,0.823
24.593896,18.067,1.297
27.433638,19.606,1.17
23.9753,20.579,1.847
25.483092,20.044,1.096
25.987621,20.567,1.267
24.996562,21.25,1.511
27.46158,20.263,1.056
27.581115,20.713,1.619
27.772289,20.807,1.141
27.536524,20.915,1.803
28.515526,21.162,1.384
27.881873,21.301,0.84
29.943866,22.725,1.55
29.567688,23.092,0.964
34.347819,24.332,1.93
30.200079,23.197,1.983
33.293176,24.894,1.164
31.840542,24.347,1.427
31.989036,24.468,1.405
32.334288,24.687,1.754
32.441981,25.362,1.535
31.641324,25.71,1.77
33.623149,24.938,1.712
33.767328,27.122,1.566
34.86464,27.35,1.76
33.098256,26.879,1.893
31.816273,27.237,1.249
32.843643,27.914,1.035
33.273239,27.894,1.288
35.543283,28.445,1.507
35.162355,28.879,1.339
34.515935,29.789,1.651
34.900377,30.046,1.985
34.814305,30.224,1.478
35.085758,30.526,1.56
34.696003,30.499,1.94
22.605625,19.991,1.347
24.043809,21.223,1.241
24.418415,22.139,1.285
24.3612,22.401,1.577
23.423155,21.615,0.964
24.320373,22.463,1.765
21.140588,20.834,1.667
20.509861,21.815,1.466
22.930217,22.593,0.853
22.533414,23.052,1.934
22.804107,23.909,1.378
22.598872,24.32,1.679
23.119344,28.845,1.486
28.968118,26.666,1.448
30.494102,27.568,1.995
29.870276,28.055,1.448
29.086059,28.09,1.161
26.847193,27.837,1.385
28.85696,28.165,1.563
30.096927,28.911,1.986
30.061976,29.145,0.814
33.319954,29.718,1.359
29.785375,29.885,1.684
28.805552,30.493,1.008
29.943335,31.429,1.181
31.474437,32.252,0.926
25.379595,27.512,1.911
25.363935,28.249,1.644
25.066362,29.069,1.619
26.832058,28.77,1.555
26.060509,30.213,1.338
26.769266,31.197,1.323
23.802169,30.391,1.259
25.284825,30.308,0.878
27.951641,30.809,1.963
28.952023,31.378,1.563
29.409593,32.376,1.104
26.303377,31.894,0.916
26.329793,31.978,1.046
26.943234,32.879,1.512
27.287196,33.182,1.778
29.171059,34.283,1.436
16.410104,25.292,1.138
18.293276,26.82,1.441
18.577224,27.27,1.691
15.382398,26.815,1.267
15.385695,27.469,1.905
16.325416,27.949,1.866
17.977399,28.343,1.201
17.330449,29.016,1.58
19.063337,28.53,1.846
19.732307,29.173,1.1
21.814278,29.823,2.064
21.670905,30.13,1.704
18.060783,30.056,1.331
17.152536,30.194,0.914
20.276168,30.796,1.852
14.419147,28.2,0.984
15.046199,30.471,1.978
13.138621,30.994,1.728
17.122959,31.058,1.779
17.769067,31.508,1.645
15.964669,30.939,1.429
16.310443,31.682,0.908
15.164287,32.304,1.116
16.332197,33.231,1.417
14.586172,32.465,1.616
16.569973,33.794,1.989
23.169063,31.089,1.432
22.670447,31.358,0.922
23.269415,32.764,2.071
22.671658,33.051,1.298
22.285995,33.664,2.092
23.527663,34.89,1.247
24.13982,35.48,1.741
24.231968,35.964,1.681
24.532358,36.284,0.992
25.141201,36.238,1.374
25.619344,37.502,0.943
24.840971,37.775,1.163
21.243648,35.091,1.012
22.030104,36.019,1.573
18.973479,34.974,1.306
17.611548,36.202,1.935
20.062402,37.652,2.104
21.752103,37.58,1.117
23.040498,39.119,1.812
21.340987,38.552,2.06
22.769552,39.45,1.065
23.190502,39.792,1.478
34.51761,31.901,0.965
34.759129,31.841,1.18
35.813457,33.163,1.726
34.878875,32.896,1.07
33.046069,33.212,1.652
34.531585,34.222,1.261
36.859698,33.926,1.686
37.013048,34.64,1.983
36.133673,34.722,2.105
37.625482,34.67,1.472
37.602512,35.055,1.041
38.843891,35.552,1.116
37.793263,35.684,1.307
37.414455,36.519,1.429
35.865594,35.355,0.803
36.506161,36.508,2.117
36.766727,37.284,1.874
36.079775,36.686,1.597
36.412032,38.16,1.548
31.673076,34.366,1.481
30.797714,34.113,1.757
32.339233,34.319,2.12
32.187681,36.207,1.041
29.445467,35.826,1.273
35.260248,38.045,1.151
34.359595,38.521,1.353
34.711303,38.594,0.982
32.333209,37.483,1.944
32.44126,37.678,1.633
32.244229,38.562,1.651
31.604426,38.21,1.282
31.849723,38.711,1.817
31.225256,38.862,2.15
34.898204,40.113,1.203
33.950899,40.195,1.964
33.315005,40.272,1.575
33.201213,40.365,1.133
39.117494,35.992,1.594
38.953896,36.436,0.96
38.908096,36.541,1.067
39.359086,37.145,1.716
38.621954,36.9,1.701
39.249804,37.254,1.925
38.410729,39.264,1.463
36.98861,39.866,1.564
36.773333,40.031,1.719
35.684435,40.37,1.853
27.712791,36.485,1.304
28.251423,37.723,1.079
27.782364,37.598,0.922
28.654232,38.235,1.418
26.742324,38.013,1.585
26.523481,39.182,2.097
25.319629,40.194,1.917
24.384312,40.425,1.948
24.479556,40.401,1.233
25.792668,41.482,1.617
26.304912,41.819,1.086
26.115743,41.801,2.156
25.519613,41.623,1.304
23.438525,42.171,1.473
12.168099,31.561,2.134
11.584211,31.248,1.205
12.377015,32.684,0.905
11.830664,33.137,1.968
9.564006,33.882,0.96
12.107523,34.479,1.336
13.945288,34.365,2.126
16.256135,35.36,1.032
15.897577,35.844,1.413
15.488656,35.76,1.214
15.860541,36.331,1.818
11.94349,35.692,2.123
15.014988,37.209,1.019
14.148482,37.15,1.67
12.976501,37.376,1.164
8.311567,33.317,1.32
8.15631,34.76,1.508
9.879887,34.312,1.369
10.111363,36.077,1.131
7.470541,35.843,1.476
9.22084,37.744,1.531
7.490958,37.079,0.916
7.618346,37.129,0.914
7.548677,37.514,1.702
11.10901,36.109,1.977
12.404083,36.975,0.805
11.937849,37.725,1.12
13.023183,37.972,1.334
10.906051,38.334,1.282
9.183633,38.221,1.047
16.973196,36.44,1.519
17.573457,36.873,1.467
17.892223,37.146,2.146
17.222457,37.841,2.056
18.422321,38.386,1.498
18.302927,39.789,0.912
15.695817,38.13,1.354
14.53358,39.067,1.524
16.66869,39.144,1.877
