RAJ2000,DEJ2000
0.0647778,-32.0911389
0.0648476,19.8280616
0.0650522,-3.9817438
0.0656889,-0.6958439
0.0660484,18.6398801
0.0662563,-27.6490384
0.0665205,5.3409723
0.0665243,-29.5734786
0.0667613,25.7944551
0.0669356,-1.0775242
0.0670173,-3.1360459
0.0670895,39.640446
0.0671762,20.0430434
0.0672791,-13.7676987
0.0673167,-34.9376258
0.0674145,-3.1012633
0.0675914,42.6563505
0.0678387,4.0167947
0.0678832,26.5603732
0.0679445,-34.1729167
0.0679688,23.3131873
0.0679697,48.2018616
0.0679995,-31.7438591
0.068276,45.588106
0.0684682,-0.3092762
0.0685215,21.9363111
0.0686303,-55.5125549
0.0687336,2.454204
0.0687546,13.996622
0.0689028,-25.0796321
0.0689108,5.1845005
0.0692004,27.7353293
0.0693056,43.6655208
0.0693684,-16.5165582
0.0696082,13.8720825
0.0702599,21.0936097
0.0702915,-3.7011636
0.0703925,5.4794311
0.0704469,28.1655429
0.0704826,19.9579367
0.0705043,-25.3182985
0.0712028,3.1384658
0.0714333,-30.5903954
0.0715018,12.1757906
0.0718114,-5.0849887
0.0718318,29.5017125
0.0721212,33.2753925
0.0721886,-4.7506613
0.0723527,21.3488697
0.0724376,-8.8566132
0.0730346,26.4533317
0.0730679,-19.6708027
0.0732942,26.0054251
0.0735221,27.6465788
0.0736613,-3.7006084
0.0736685,-6.4745758
0.0738962,-35.0898247
0.0738988,22.8262157
0.0739133,2.007734
0.0739669,-32.4479746
0.0744373,13.7970984
0.0744777,-1.8608781
0.0745428,0.436826
0.0746258,16.9754706
0.0746352,-43.7999824
0.0748255,43.5322604
0.0748818,34.7475999
0.0748911,0.4075172
0.0749358,42.0480593
0.0749384,-12.6556154
0.075119,-27.6566753
0.0751263,10.2677223
0.075148,14.05325
0.0753198,-48.0628604
0.0755176,28.2196868
0.075529,1.6103151
0.0756099,21.2522753
0.0756226,-5.5003809
0.0756737,29.6328958
0.0757057,5.3040322
0.0757479,34.0864071
0.0757868,5.1343347
0.0758334,-34.81025
0.0763983,3.9510313
0.0764433,30.8067308
0.0766199,15.2573353
0.0766277,20.2521007
0.0770401,-4.4482818
0.0776696,31.0289821
0.0776774,3.5483919
0.0778216,33.701998
0.078113,-26.1734434
60.0001253,-39.7475386
60.0002175,-80.1734008
60.0003257,-22.685997
60.0004321,1.8035723
60.0014679,84.0117772
60.0034863,1.6301905
60.0036023,-24.5653873
60.0036778,-29.2613417
60.003793,-58.0233956
60.0046155,-42.286289
60.0048896,-10.8882848
60.0049733,-49.1903859
60.0066326,-6.8817532
60.0067849,-5.4537778
60.0072699,-12.015885
60.0083947,-4.0400228
60.0085886,-56.4804886
60.0094851,-9.3033923
60.0095841,24.7327551
60.0097945,-45.8481165
60.0104578,-10.9456001
60.0104697,22.5459849
60.0106317,22.2326432
60.011254,25.409755
60.0112808,-27.4148719
60.0113168,10.5780465
60.0117176,23.6613671
60.0119432,2.718326
60.0122326,-1.9555971
60.0124782,19.7481668
60.0129775,-23.4119092
60.0130583,-48.2967476
60.0131877,-69.9129771
60.0132715,3.9037422
60.0133192,-38.5661882
60.0134749,-61.1575257
60.014391,-18.8781369
60.0144203,-48.4537246
60.0144491,-32.2022415
60.0155703,-22.9700605
60.0156652,-21.692055
60.0164683,1.8742413
60.0164926,-23.5317148
60.0166032,-78.1534756
60.0176244,9.9485415
60.017691,-52.9972995
60.0183003,23.8575326
60.0192708,-47.0191604
60.0193326,-2.4306361
60.0216312,8.8661675
60.0223237,-38.6821445
60.0226214,11.5060956
60.0228772,-3.5173962
60.023061,33.296763
60.0237616,-38.2856479
60.0240862,-47.699898
60.0244794,-31.1007691
60.0257084,-65.938293
60.0257748,-48.2464567
60.0265639,-42.1596353
60.0277813,-29.3379273
60.0284834,-18.7058981
60.0288168,-30.5507277
60.0298195,-51.0269597
60.030876,-2.2391764
60.0310227,-29.6518336
60.0313889,-23.42875
60.0314648,-66.4148009
60.0320634,-69.32786
60.032374,-38.7122976
60.0330355,-49.7895459
60.0335685,10.9899401
60.0336153,-42.2756733
60.0337584,-53.6803672
60.0343466,0.4970759
60.0347621,-7.279444
60.0357016,46.1778239
60.0360481,-12.0171704
60.0361372,-45.9988315
60.0363085,-84.0085296
60.036729,33.3009153
60.0368889,-13.5246389
60.036986,-49.2576197
60.0370133,43.1322
60.0370821,-39.4023436
60.0374028,-88.0346133
60.037643,-9.7789511
60.0376627,-49.0544873
60.0383424,-0.5706594
60.0392223,16.5695
60.0399527,-66.2545935
60.0410216,-32.6968376
60.0414933,-27.121429
60.0421229,71.413505
60.044059,-12.6966519
60.0444013,-58.5603508
60.0445975,27.7777097
60.0452565,-16.5136127
60.0452627,-45.2566235
60.0457762,-0.0878768
60.0459664,-30.178573
60.0462997,10.68398
60.0463724,-39.8918702
60.0470033,34.6855362
60.0471112,12.5501667
60.0485882,-75.6644523
60.0486013,10.9201735
60.0488965,5.8453145
60.049261,28.107754
60.0495367,23.6261434
60.0498776,-32.6339173
60.0506179,-23.9002757
60.0506884,-50.9870503
60.0507724,74.0930975
60.0533872,-36.8870932
60.0542437,-5.622799
60.0545149,-19.5730212
60.0545446,-73.2783736
60.056099,-60.0089161
60.0561036,15.7634942
60.0561881,-20.3998911
60.0562778,-67.59925
60.0567105,19.5279011
60.0580497,-23.0938913
60.0580872,-11.7741536
60.0584581,-7.9759632
60.0585756,-23.7994375
60.0592223,23.3905278
60.0602512,-4.2492116
60.0604585,-41.0365346
60.0605621,79.227005
60.061112,4.3038576
60.0616945,0.3216112
60.0626824,-14.3911285
60.0628925,20.8117828
60.0636076,-33.7291753
60.0638389,-56.9229319
60.0639023,-31.1846836
60.0641421,-65.3898621
60.0653159,-28.8422067
60.0656889,-11.1264567
60.0659286,-66.9139969
